no,G_ID,GDAY_DS,T_ID,WLS,P1,P2,P3,P4,D1,D2,D3,B1,B2,B3,B4,C1,C2,C3,C4,S1,S2,W,WS,WC,YEAR,p1,p2,p3,p4,d1,d2,d3,b1,b2,b3,b4,c1,c2,c3,c4,s1,s2
1,20160401HHLG0,20160401,HH,L,0.285714286,3.970588235,0.261904762,0.352941176,0,0,1,0.282608696,3,0.326530612,0.369565217,0,0.086956522,0.2,12,0,0.589285714,LOSE,0,0,2016,0,0.090696039,1,0.049745057,1,0,1,0.533715178,0.25,0.309385808,0,0,0.058968459,0.022222222,1,0,0
2,20160402HHLG0,20160402,HH,L,0.4,7.2,0.225,0.8,1,0,2,0.302325581,6,0.361702128,0.488372093,0,0.162790698,0.333333333,10,0,0,LOSE,0,0,2016,0.676923077,0.77689243,0.763243832,1,1,0,1,0.70797939,1,0.608163713,0.450047985,0,0.617307684,0.674074074,1,0,0
3,20160405WOHH0,20160405,HH,W,0.25,5,0.34375,0.777777778,1,1,3,0.371428571,5,0.425,0.6,0,0.228571429,0.428571429,8,1,1,WIN,3,3,2016,0,0.309428951,1,1,1,1,1,1,0.75,1,0.887924471,0,1,1,0.5,1,1
4,20160406WOHH0,20160406,HH,L,0.25,6,0.375,0.777777778,1,0,2,0.314285714,0,0.314285714,0.714285714,2,0.114285714,0.222222222,5,1,1,LOSE,0,3,2016,0,0.521912351,1,1,1,0,1,0.813686912,0,0.205366833,1,1,0.26018328,0.130864198,0,1,1
5,20160407WOHH0,20160407,HH,L,0.333333333,7,0.121212121,0.555555556,0,1,1,0.307692308,1,0.307692308,0.615384615,2,0.076923077,0.181818182,10,0,0.589285714,LOSE,0,3,2016,0.282051282,0.73439575,0,0.563777308,1,1,1,0.755412252,0,0.149356616,0.948272833,1,0,0,1,0,0
6,20160408HHNC0,20160408,HH,L,0.4,5.625,0.2,0.875,0,2,3,0.161290323,8,0.297297297,0.419354839,1,0.129032258,0.2,8,0,0.589285714,LOSE,0,3,2016,0.676923077,0.442231076,0.542271408,1,1,1,1,0,1,0.06105222,0.179317899,1,0.368756674,0.022222222,0.5,0,0
7,20160409HHNC0,20160409,HH,L,0.472222222,11.25,0.111111111,0.375,0,0,0,0.24137931,2,0.290322581,0.24137931,0,0.034482759,0.5,4,0,0,LOSE,0,3,2016,1,1,0,0.105708245,1,0,0,0.169316539,0,0.001802819,0,0,0,1,0,0,0
8,20160410HHNC0,20160410,HH,W,0.068965517,1,0.310344828,0.333333333,1,0,0,0.206896552,5,0.303030303,0.275862069,0,0.068965517,0.181818182,9,0,0.589285714,WIN,3,6,2016,0,0,1,0,1,0,0,0,0.75,0.109753433,0,0,0,0,0.75,0,0
9,20160412OBHH0,20160412,HH,L,0.454545455,8,0.212121212,1,0,1,1,0.264705882,3,0.305555556,0.382352941,0,0.029411765,0.181818182,8,0,0.589285714,LOSE,0,6,2016,1,0.94687915,0.649409553,1,1,1,1,0.375484325,0.25,0.131205157,0.034172646,0,0,0,0.5,0,0
10,20160413OBHH0,20160413,HH,L,0.425,7,0.15,0.444444444,0,0,0,0.375,3,0.418604651,0.775,0,0.075,0.066666667,13,1,1,LOSE,0,6,2016,0.825,0.73439575,0.10032656,0.281888654,1,0,0,1,0.25,1,1,0,0,0,1,1,1
11,20160414OBHH0,20160414,HH,L,0.487804878,17,0.170731707,0.666666667,0,1,2,0.161290323,1,0.161290323,0.161290323,0,0.032258065,0.166666667,3,0,0.589285714,LOSE,0,6,2016,1,1,0.283571985,0.845665962,1,1,1,0,0,0,0,0,0,0,0,0,0
12,20160415LGHH0,20160415,HH,L,0.545454545,18,0.159090909,1.111111111,0,2,1,0.272727273,2,0.314285714,0.272727273,0,0.03030303,0.090909091,6,0,0.589285714,LOSE,0,6,2016,1,1,0.180680169,1,1,1,1,0.446379967,0,0.205366833,0,0,0,0,0,0,0
13,20160417LGHH0,20160417,HH,L,0.424242424,6,0.333333333,0.666666667,0,0,1,0.205882353,11,0.386363636,0.205882353,0,0.117647059,0.142857143,12,1,1,LOSE,0,6,2016,0.820512821,0.521912351,1,0.845665962,1,0,1,0,1,0.817660342,0,0,0.284931627,0,1,1,1
