"","no","G_ID","GDAY_DS","T_ID","WLS","P1","P2","P3","P4","D1","D2","D3","B1","B2","B3","B4","C1","C2","C3","C4","S1","S2","W","WS","WC","YEAR","p1","p2","p3","p4","d1","d2","d3","b1","b2","b3","b4","c1","c2","c3","c4","s1","s2"
"1",1,"20160401HHLG0",20160401,"HH","L",0.285714286,3.970588235,0.261904762,0.352941176,0,0,1,0.282608696,3,0.326530612,0.369565217,0,0.086956522,0.2,12,0,0.589285714,"LOSE",0,0,2016,0.385714285965,0.185758513918129,0.48639455841691,0.243137254615599,0,0,0.25,0.545031056065328,0.1875,0.483391682490235,0.311820651892472,0,0.194373402140514,0.2,0.625,0,0.589285714
"2",2,"20160402HHLG0",20160402,"HH","L",0.4,7.2,0.225,0.8,1,0,2,0.302325581,6,0.361702128,0.488372093,0,0.162790698,0.333333333,10,0,0,"LOSE",0,0,2016,0.539999999811,0.336842105263158,0.417857143215306,0.55111111119684,0.333333333333333,0,0.5,0.583056477101448,0.375,0.558443871441069,0.412063953533135,0,0.363885089689869,0.333333333,0.5,0,0
"3",3,"20160405WOHH0",20160405,"HH","W",0.25,5,0.34375,0.777777778,1,1,3,0.371428571,5,0.425,0.6,0,0.228571429,0.428571429,8,1,1,"WIN",3,3,2016,0.337499999881875,0.233918128654971,0.638392857690051,0.535802469372236,0.333333333333333,0.25,0.75,0.716326529120554,0.3125,0.693514644322447,0.506250000079102,0,0.510924370765991,0.428571429,0.375,0.142857142857143,1
"4",4,"20160406WOHH0",20160406,"HH","L",0.25,6,0.375,0.777777778,1,0,2,0.314285714,0,0.314285714,0.714285714,2,0.114285714,0.222222222,5,1,1,"LOSE",0,3,2016,0.337499999881875,0.280701754385965,0.69642857202551,0.535802469372236,0.333333333333333,0,0.5,0.606122447865743,0,0.457262402240282,0.602678571281669,0.333333333333333,0.255462184265349,0.222222222,0.1875,0.142857142857143,1
"5",5,"20160407WOHH0",20160407,"HH","L",0.333333333,7,0.121212121,0.555555556,0,1,1,0.307692308,1,0.307692308,0.615384615,2,0.076923077,0.181818182,10,0,0.589285714,"LOSE",0,3,2016,0.4499999993925,0.327485380116959,0.225108224907236,0.382716049748422,0,0.25,0.25,0.59340659344898,0.0625,0.443192791111163,0.51923076898738,0.333333333333333,0.171945701549641,0.181818182,0.5,0,0.589285714
"6",6,"20160408HHNC0",20160408,"HH","L",0.4,5.625,0.2,0.875,0,2,3,0.161290323,8,0.297297297,0.419354839,1,0.129032258,0.2,8,0,0.589285714,"LOSE",0,3,2016,0.539999999811,0.263157894736842,0.371428571746939,0.602777777871543,0,0.5,0.75,0.311059908354016,0.5,0.421010968476108,0.353830645461536,0.166666666666667,0.28842504732805,0.2,0.375,0,0.589285714
"7",7,"20160409HHNC0",20160409,"HH","L",0.472222222,11.25,0.111111111,0.375,0,0,0,0.24137931,2,0.290322581,0.24137931,0,0.034482759,0.5,4,0,0,"LOSE",0,3,2016,0.637499999476875,0.526315789473684,0.206349206319728,0.258333333373518,0,0,0,0.46551724028202,0.125,0.406127683288447,0.203663792844322,0,0.0770791083620093,0.5,0.125,0,0
"8",8,"20160410HHNC0",20160410,"HH","W",0.068965517,1,0.310344828,0.333333333,1,0,0,0.206896552,5,0.303030303,0.275862069,0,0.068965517,0.181818182,9,0,0.589285714,"WIN",3,6,2016,0.0931034479174138,0.0467836257309941,0.576354681065447,0.22962962943572,0.333333333333333,0,0,0.399014778486629,0.3125,0.433244579605304,0.232758620755119,0,0.154158214488724,0.181818182,0.4375,0,0.589285714
"9",9,"20160412OBHH0",20160412,"HH","L",0.454545455,8,0.212121212,1,0,1,1,0.264705882,3,0.305555556,0.382352941,0,0.029411765,0.181818182,8,0,0.589285714,"LOSE",0,6,2016,0.613636364035227,0.374269005847953,0.393939394051948,0.688888888996049,0,0.25,0.25,0.51050420052596,0.1875,0.438633194793363,0.322610294019158,0,0.0657439453018522,0.181818182,0.375,0,0.589285714
"10",10,"20160413OBHH0",20160413,"HH","L",0.425,7,0.15,0.444444444,0,0,0,0.375,3,0.418604651,0.775,0,0.075,0.066666667,13,1,1,"LOSE",0,6,2016,0.573749999799188,0.327485380116959,0.278571428810204,0.306172839247627,0,0,0,0.72321428504273,0.1875,0.679867665285361,0.653906250102173,0,0.167647058843253,0.066666667,0.6875,0.142857142857143,1
"11",11,"20160414OBHH0",20160414,"HH","L",0.487804878,17,0.170731707,0.666666667,0,1,2,0.161290323,1,0.161290323,0.161290323,0,0.032258065,0.166666667,3,0,0.589285714,"LOSE",0,6,2016,0.658536585069512,0.795321637426901,0.317073170414634,0.459259259560329,0,0.25,0.5,0.311059908354016,0.0625,0.130786881710009,0.136088710052514,0,0.0721062629496596,0.166666667,0.0625,0,0.589285714
"12",12,"20160415LGHH0",20160415,"HH","L",0.545454545,18,0.159090909,1.111111111,0,2,1,0.272727273,2,0.314285714,0.272727273,0,0.03030303,0.090909091,6,0,0.589285714,"LOSE",0,6,2016,0.736363635492273,0.842105263157895,0.295454545538961,0.765432098807956,0,0.5,0.25,0.525974026011595,0.125,0.457262402240282,0.230113636629705,0,0.0677361847138513,0.090909091,0.25,0,0.589285714
"13",13,"20160417LGHH0",20160417,"HH","L",0.424242424,6,0.333333333,0.666666667,0,0,1,0.205882353,11,0.386363636,0.205882353,0,0.117647059,0.142857143,12,1,1,"LOSE",0,6,2016,0.572727272199545,0.280701754385965,0.619047618959184,0.459259259560329,0,0,0.25,0.39705882327416,0.6875,0.611068846668993,0.173713235370893,0,0.262975778972115,0.142857143,0.625,0.142857142857143,1
"14",14,"20160419HHLT0",20160419,"HH","L",0.310344828,3.724137931,0.275862069,1.034482759,0,0,0,0.210526316,6,0.318181818,0.315789474,1,0.078947368,0.2,11,0,0.589285714,"LOSE",0,6,2016,0.418965517653362,0.174228675134503,0.512315271439127,0.712643678533078,0,0,0,0.406015037622986,0.375,0.465576264331984,0.266447368729132,0.166666666666667,0.176470587314879,0.2,0.5625,0,0.589285714
"15",15,"20160420HHLT0",20160420,"HH","L",0.552631579,11.25,0.157894737,0.875,0,2,0,0.277777778,2,0.315789474,0.444444444,1,0.111111111,0.375,7,0,0.589285714,"LOSE",0,6,2016,0.746052631388882,0.526315789473684,0.293233083251343,0.602777777871543,0,0.5,0,0.535714285645408,0.125,0.460471262491194,0.374999999683594,0.166666666666667,0.248366012852749,0.375,0.3125,0,0.589285714
"16",16,"20160421HHLT0",20160421,"HH","W",0.272727273,5,0.272727273,0.444444444,1,1,0,0.393939394,9,0.511627907,0.575757576,0,0.272727273,0.333333333,10,2,0.5,"WIN",3,9,2016,0.368181818421136,0.233918128654971,0.506493507434137,0.306172839247627,0.333333333333333,0.25,0,0.75974025915167,0.5625,0.878369173896303,0.485795454825906,0,0.609625669130544,0.333333333,0.5,0.285714285714286,0.5
"17",17,"20160422HHOB0",20160422,"HH","L",0.5,9,0.117647059,0.375,0,0,1,0.212121212,4,0.297297297,0.393939394,1,0.060606061,0.25,9,0,0.589285714,"LOSE",0,9,2016,0.67499999976375,0.421052631578947,0.218487395472989,0.258333333373518,0,0,0.25,0.409090908477273,0.25,0.421010968476108,0.332386363739435,0.166666666666667,0.135472371662997,0.25,0.4375,0,0.589285714
